"","leima","kirjatlaani","kansallisuus","perheen_toimeentulo","sukupuoli","siviilisaaty"
"23597","00000000000A4E4B","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23598","00000000000EEC5E","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23599","00000000000DA14B","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23600","000000000006DDCA","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23601","00000000000D026E","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23602","00000000000751B4","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23603","000000000009BFDA","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23604","00000000000D636B","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23605","00000000000C733B","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23606","00000000000E47F3","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23607","00000000000E35F4","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23608","00000000001193C1","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23609","00000000000EFC5B","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23610","00000000000D49FC","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23611","00000000000F1087","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23612","00000000000FA213","Oulun lääni","","Muu","Mies","Naimisissa"
"23613","00000000000FA212","Oulun lääni","","Muu","Mies","Naimisissa"
"23614","00000000000FA230","Oulun lääni","","Muu","Mies","Naimaton"
"23615","0000000000033724","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23616","00000000000FA239","Oulun lääni","","Muu","Mies","Naimisissa"
"23617","00000000000DCE2E","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23618","00000000000FA221","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23619","00000001002C38C0","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23620","00000000000C3090","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23621","00000000000F3A41","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23622","00000000000CCF87","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23623","000000000011B1C5","Kuopion lääni","","Ei tietoa","Nainen","Naimisissa"
"23624","00000000000DC4B5","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23625","000000000003501C","Oulun lääni","","Muu","Mies","Naimisissa"
"23626","00000001002C38D6","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23627","000000000009F5D5","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23628","00000000000CD03F","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23629","00000000001386CB","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23630","00000000000EF5CF","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23631","00000000000A869B","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23632","0000000000035582","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23633","00000000000ABF9F","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23634","000000000001E3C8","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23635","00000000000340EA","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23636","00000000000B3206","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23637","000000000002D9AD","Oulun lääni","","Muu","Mies","Naimisissa"
"23638","00000000000224BC","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23639","000000000013A0E8","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23640","0000000000080CC2","Kuopion lääni","","Muu","Mies","Naimisissa"
"23641","000000000012827D","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23642","000000000011570D","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23643","00000000001116F8","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
"23644","00000000000F1232","Oulun lääni","","Ei tietoa","Mies","Naimisissa"
"23645","00000000000B3252","Kuopion lääni","","Muu","Mies","Naimisissa"
"23646","00000000001381C2","Oulun lääni","","Ei tietoa","Mies","Leski"
"23647","000000000014B9EB","Kuopion lääni","","Ei tietoa","Mies","Naimaton"
"23648","0000000000115057","Oulun lääni","","Ei tietoa","Mies","Naimaton"
"23649","00000001002C391D","Kuopion lääni","","Ei tietoa","Mies","Naimisissa"
